name,game_date,shot_made_flag
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,0
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
Kobe Bryant,2006-01-23,1
